,waktu,user,text,STOP_REMOVAL
237,2021-11-25 10:14:44+00:00,srufamin, gotbener jangan kasih enak terus harus tanggung jawab atas kedunguan sendiri, gotbener kasih enak tanggung kedunguan
238,2021-11-25 10:14:42+00:00,andracadabra1, percepatrealisasiapbd terdapat daerah2 dgn capaian realisasi belanja tinggi rendah mendagri mengimbau daerah2 realis, percepatrealisasiapbd daerah2 dgn capaian realisasi belanja rendah mendagri mengimbau daerah2 realis
239,2021-11-25 10:14:30+00:00,abdi_nagari, agan1 mendagri tito karnavian meminta seluruh kepala daerah untuk mempercepat realisasi apbd, agan1 mendagri tito karnavian kepala daerah mempercepat realisasi apbd
240,2021-11-25 10:14:27+00:00,rikkykurus4, formula itu tidak masuk program resmi pembangunan jakarta baik jangka pendek menengah maupun jangka panjang bakapa, formula masuk program resmi pembangunan jakarta jangka pendek menengah jangka bakapa
241,2021-11-25 10:14:27+00:00,tqcamp96, back ini efek film porno bebas dan ditonton anak2 pelaku juga dibawah umur kecanduan film porno pelaku perkosa dan bunuh, back efek film porno bebas ditonton anak2 pelaku dibawah umur kecanduan film porno pelaku perkosa bunuh
242,2021-11-25 10:14:18+00:00,amalsurya, pelaku yang terlibat pengroyokan anak ini semuanya usia anak dan pelaku suami istri itu menikah siri krn juga masih, pelaku terlibat pengroyokan anak usia anak pelaku suami istri menikah siri krn
243,2021-11-25 10:14:17+00:00,tedywjaya, menyatakan cipta kerja bertentangan dengan uud 1945, cipta kerja bertentangan uud 1945
244,2021-11-25 10:14:16+00:00,aesthelll, nctbase jangan heran nanti kalau jaemin jadi pembawa berita cuaca saingan sama jeno bmkg, nctbase heran jaemin pembawa berita cuaca saingan jeno bmkg
245,2021-11-25 10:14:14+00:00,xn0nam3xx, adakah berdegup jantunghati kita apabila membaca berita sebegini atau tak kisah jika tak rasa apa2 mungkin bagus juga tanya, adakah berdegup jantunghati membaca berita kisah apa2 bagus
246,2021-11-25 10:14:07+00:00,tvonenews,kapal pembawa turis asing terbalik mentawai,kapal pembawa turis asing terbalik mentawai
247,2021-11-25 10:14:05+00:00,tvonenews,indonesia open minions lolos perempat final,indonesia open minions lolos perempat final
248,2021-11-25 10:14:05+00:00,aniswilujeng12, foto kebersamaan yuki kato dengan dita secret number dan jang hansol lucu banget ekspresinya, foto kebersamaan yuki kato dita secret number jang hansol lucu banget ekspresinya
249,2021-11-25 10:14:05+00:00,hfnz9, penafian sebaran berita palsu berkaitan status eksesais pengambilan pdrm sumber unit pengambilan polis diraja malaysia https, penafian sebaran berita palsu berkaitan status eksesais pengambilan pdrm sumber unit pengambilan polis diraja malaysia https
250,2021-11-25 10:14:05+00:00,gosumutdotcom,ringkus terduga pengedar narkoba reskrim kualuh hulu sita sabu dan samurai,ringkus terduga pengedar narkoba reskrim kualuh hulu sita sabu samurai
251,2021-11-25 10:14:04+00:00,firlyxion, berita kek gini juga ampas banget menurutku gala pun pasti mana mau jadi sultan cilik kalo harus kehilangan, berita kek gini ampas banget menurutku gala sultan cilik kalo kehilangan
252,2021-11-25 10:14:03+00:00,msjhuang, terkait isu pemilihan vanue formula akan ditentukan oleh presiden kami tegaskan semuanya merupakan tanggung jawab , terkait isu pemilihan vanue formula ditentukan presiden tegaskan tanggung 
253,2021-11-25 10:14:03+00:00,nfitria577nur,berita isinya ttg kemalangan anak indonesia trs mulai korban pedofil penganiayaan smpe anak kecil bunuh anak kecil,berita isinya ttg kemalangan anak indonesia trs korban pedofil penganiayaan smpe anak bunuh anak
254,2021-11-25 10:14:02+00:00,imanboer, terkait isu pemilihan vanue formula akan ditentukan oleh presiden kami tegaskan semuanya merupakan tanggung jawab , terkait isu pemilihan vanue formula ditentukan presiden tegaskan tanggung 
255,2021-11-25 10:13:59+00:00,nama_pendek,astagfirulllah makin hari makin banyak berita kekerasan seksual anak dibawah umur jadi ngeri2 nnti kalo punya anak,astagfirulllah berita kekerasan seksual anak dibawah umur ngeri2 nnti kalo anak
256,2021-11-25 10:13:58+00:00,antaralampung,cedera shesar menyerah babak kedua indonesia open,cedera shesar menyerah babak indonesia open
257,2021-11-25 10:13:58+00:00,rizkihadi, terkait isu pemilihan vanue formula akan ditentukan oleh presiden kami tegaskan semuanya merupakan tanggung jawab , terkait isu pemilihan vanue formula ditentukan presiden tegaskan tanggung 
258,2021-11-25 10:13:56+00:00,dontcryindokid, sesuatu tek3n presiden bertentangan dgn konstitusi implikasinya apa dicerahkan lah kita dong, tek3n presiden bertentangan dgn konstitusi implikasinya dicerahkan
259,2021-11-25 10:13:54+00:00,jaksakita,kapuspenkum kejagung leonard eben ezer simanjuntak menyampaikan kejagung tlh melelang barang rampasan berupa ,kapuspenkum kejagung leonard eben ezer simanjuntak kejagung tlh melelang barang rampasan 
260,2021-11-25 10:13:54+00:00,hellobrightt,lelen gaada berita itu sii laku pasti beritanya,lelen gaada berita sii laku beritanya
261,2021-11-25 10:13:49+00:00,_ummmiiii, kit ujian covid boleh dibeli serendah rm4 menteri awaninews awani745, kit ujian covid dibeli serendah rm4 menteri awaninews awani745
262,2021-11-25 10:13:48+00:00,anyelirdarlaaa, proyek2 mercusuar hibah2 dari triliunan miliaran tapi gak peduli warga berak sembarangan kok gak malu, proyek2 mercusuar hibah2 triliunan miliaran gak peduli warga berak sembarangan gak malu
263,2021-11-25 10:13:48+00:00,solihpopeye, memerintahkan dpr dan pemerintah untuk memperbaiki cipta kerja dalam jangka waktu tahun depan bagaimana bila tida, memerintahkan dpr pemerintah memperbaiki cipta kerja jangka tida
